1,different,《～とは》違った《from》；さまざまな
2,hobby,趣味
3,enjoy,を楽しむ；を享受する
4,love,を愛している／愛
5,prefer,《～より》を好む《to》
6,hate,"を憎む；…したくない《to do, …ing》／憎しみ"
7,ask,尋ねる；求める
8,consult,(辞書など)を調べる；(専門家)に相談する
9,will,…だろう；…するつもりだ／意志；遺言
10,willing,…する気がある《to do》；喜んで行う
11,marry,結婚する
12,clever,賢い；抜け目ない；器用な；巧みな
13,handsome,(男性が)ハンサムな；立派な
14,pretty,かわいらしい／かなり
15,ugly,醜い；不快な
16,so,だから／そのように；それほど[だけ]；とても
17,hard,熱心に；激しく／硬い；難しい；つらい
18,firm,断固とした；固い／会社
19,choice,選択；選択の自由
20,money,お金
21,trip,旅行；移動
22,travel,旅行する；(光・音などが)伝わる／旅行
23,must,…しなければならない；…に違いない／絶対に必要なもの[こと]
24,useful,《物・事に/人に》役に立つ《for/to》
25,convenient,(時間・場所・物が)都合のよい；便利な
26,find,を見つける；…だとわかる
27,discover,を発見する；に気づく
28,buy,《+ A (for B) / B A》(Bに)Aを買う
29,long,長い／長い間
30,cash,現金
31,pay,《～に》を支払う《for》／《～に》代金を支払う《for》；割に合う／給料
32,income,収入
33,price,(品物の)値段；代償；《-s》物価
34,fare,(交通機関の)運賃
35,fee,(参加・入場の)料金；(医師などへの)謝礼
36,charge,料金；責任；告発／を請求する；(責任など)を負わせる；を告発する；を充電する
37,cost,費用；代償；犠牲／(費用など)がかかる；(犠牲)を払わせる
38,expense,費用；犠牲
39,cheap,安い；安っぽい
40,expensive,高価な
41,special,特別な；独特の；専門の
42,unique,独特の；唯一の
43,remarkable,注目すべき；すぐれた
44,quickly,速く
45,gradually,徐々に
46,suddenly,突然
47,want,が欲しい；～したい《to do》
48,juice,汁；ジュース
49,die,死ぬ
50,again,再び，もう一度
51,repeat,繰り返す
52,another,もう1つ[1人]の；別の／もう1つ[1人]；別の人[物]
53,then,その時；それから；それなら
54,far,(時間・空間的に)遠くへ；大いに／遠い
55,let,《+ ～ do》～に(したいように)…させる
56,sick,病気の；うんざりして
57,ill,病気で；悪い
58,pale,(病気などで)青白い
59,cut,を切る；を削減する
60,happy,うれしい；幸せな
61,lovely,すてきな；美しい
62,explain,説明する
63,illustrate,《～を使って》を説明する《with》
64,demonstrate,を証明する；を実演する／デモをする
65,account,《+ for ～》～を占める；～を説明する；～の原因となる／口座；報告
66,save,を救う；を貯蓄する；を節約する
67,rescue,(危険・束縛などから)を救う《from》／救助；救済
68,assist,を助ける／《～を》助ける《in》
69,spare,余分の；予備の／予備／(時間など)を割く；を省く；を惜しむ
70,life,生命(体)；一生；生活
71,thank,に感謝する／《-s》感謝
72,dear,親愛な；大切な／《呼びかけで》あなた
73,help,助ける；手伝う；役立つ／助け
74,aid,支援；救援(物資)／を援助する／助けとなる
75,cooperate,協力する；協力して…する《to do》
76,volunteer,ボランティア；志願者
77,forever,永久に
78,choose,選ぶ
79,select,を選ぶ／選り抜きの
80,elect,(投票で)選ぶ
81,vote,投票(する)
82,pick,選ぶ；(花・果実などを)摘む
83,wife,妻
84,husband,夫
85,right,右の；正しい／右へ；正しく；ちょうど／右；権利
86,wrong,間違った；不適当な
87,proper,適切な；正しい
88,appropriate,適切な
89,excessive,過度の
90,magic,魔法；手品／魔法の
91,power,権力；能力；エネルギー
92,energy,エネルギー；活力
93,authority,権威；権限；《通例the -ties》当局
94,move,を移動させる；を感動させる／動く；引っ越す
95,transfer,を移動させる；を転勤させる／乗り換える；転任する／移転
96,pass,に合格する；を通過する；を渡す／(時間が)経過する；《～として》通る《for》／入場許可(証)
97,hurry,急ぐ／急ぐ必要
98,flow,(川・情報などが)流れる／流れ
99,stream,小川；流れ
100,heart,心臓；心；愛情
101,sour,すっぱい
102,sweet,甘い；優しい／甘いもの
103,bitter,厳しい；つらい；痛烈な；苦い
104,fast,速い；急速な／速く，急速に；しっかりと
105,rapid,(変化・行動などが)速い；急速な
