1,be late for ～,～に遅れる
2,once in a while,時々
3,lose oneself in ～,～に没頭する ～に夢中になる
4,be incapable of ...ing,...することができない
5,at one's wit's end,途方に暮れて ほとほと困っている
6,be cut out for 〔to be〕 ～,～に向いている ～に適している
7,make a contribution to ～,～に貢献〔寄与〕する
8,turn to ～,～に頼る ～の方へ向く
9,be suitable for ～,～に適した
10,in the course of ～,～の間に ～の過程で
11,get ready for ～,～の準備をする
12,on the go,（常に忙しく）活動中で
13,in progress,進行中で
14,get in contact with ～,～に連絡を取る ～と接触する
15,lose sight of ～,～を見失う ～を見落とす
16,in no time,すぐに まもなく
17,as is often the case (with ～),（～に）よくあることだが
18,act on 〔upon〕 ～,～に基づいて行動する ～に作用する
19,pick out ～,～を選ぶ
20,be similar to ～,～と似ている
21,single out ～,～を特に選び出す
22,have ～ in common (with ...),（...と）共通の～を持つ （...と）～を共有している
23,be afraid to do,怖くて...できない
24,see A as B,AをBとみなす〔考える〕
25,at first glance,一見したところ 一目見ただけで
26,be anxious to do,...することを切望する
27,make haste,慌てる 急ぐ
28,at (one's) ease,気楽に 安心して
29,not possibly,どうしても...ない
30,would rather ～ than ...,...するよりむしろ～したい
31,the chances are that ...,おそらく...だろう
32,(just) around 〔round〕 the corner,間近に来て
33,come into effect,（法律･制度などが）発効する〔実施される〕
34,become of ～,～はどうなるのだろうか（※通例whatが主語）
35,at present,現在は
36,go a long way to 〔toward(s) ; in〕 ～,～に大いに役立つ 効果がある
37,participate in ～,～に参加する
38,such as ～,たとえば～（のような）
39,brush up (on) ～,～（知識・技術など）をやり直す
40,be content with ～,～に満足している
41,all of a sudden,突然
42,at home,家で 本国で
43,go by,経過する 通り過ぎる
44,be of no use,まったく役に立たない
45,by all means,何としても ぜひとも
46,keep 〔bear〕 ～ in mind,～のことを心に留めておく
47,"～, when ...",～そしてその時...
48,it is ～ that ...,...することは～である（形式主語のIt）
49,go on (with ～),～を続ける 続く
50,add A to B,AをBに加える
51,hear of ～,～のうわさを聞く
52,once upon a time,昔々
53,keep an eye 〔one's eye(s)〕 on ～,～から目を離さない ～を見張る
54,go off,去る 爆発する （明かりが）消える
55,present A with B,AにBを見せる AにBを贈る
56,next to ～,～に次いで ほとんど
57,point out that ...,...だと指摘する
58,account for ～,～を占める ～（の理由）を説明
59,pay (A) for B,Bの代金（としてA）を支払う
60,if S were to do,もし...することがあれば〔あっても〕
61,were it not 〔had it not been〕 for ～,もし～がなければ〔なかったら〕
62,to one's＋感情を表す名詞,...したことには
63,be S ～ (or ...),Sが～であろうと（...であろうと）
64,not always,必ずしも...（とは限ら）ない
65,"～, so that ...",～それで... ～その結果...
66,whatever (may) ...,たとえ何が〔を〕...しようと
67,what is called ～,いわゆる～
68,in detail,詳細に 詳しく
69,spend A on 〔for〕 B,A（金・時間）をBに費やす
70,give ～ a ride 〔lift〕,～を車に乗せてあげる ～を車で送る
71,in a hurry,急いで 慌てて
72,watch out (for ～),（～に）気をつける （～に）用心する
73,under construction,工事〔建設〕中の
74,make a mistake,間違える 失敗する
75,have an 〔a good〕 eye for ～,～に対する鑑識眼〔見る目〕がある
76,a piece of＋不可算名詞,1つ １点 １件
77,make a 〔one's〕 living,収入を得る 生計を立てる
78,second to none,右に出るものはいない
79,take the trouble to do,わざわざ...する 労を惜しまずに...する
80,out of date,時代〔流行〕遅れの
81,for the present,差し当たり とりあえず今は
82,too ～ (for A) to do,（Aが）...するには～すぎる
83,a host of ～,たくさんの～ 多数の～
84,hand down ～,～を手渡す ～を後世に残す
85,for a while,しばらくの間
86,hang on (to ～),（～を）手放さない （～に）しがみつく
87,in particular,特に
88,put ～ to use,～を利用〔使用〕する
89,take up ～,～（割合など）を占める ～（仕事など）を始める
90,put out ～,～（本など）を出版する ～（火・明かりなど）を消す
91,adapt A to 〔for〕 B,AをBに適応させる AをBに適合させる
92,take a chance 〔chances〕,思い切ってやってみる
93,many a 〔an〕 ～,多くの～
94,it appears (to ～) that ...,（Aには）...のように見〔思〕える
95,A as well as B,BだけでなくAも
96,it costs S ～ (金額) to do,S（人）が...するのに（金額）かかる
97,be in the habit of ...ing,...する習慣になっている
98,both A and B,AもBも AとBの両方
99,at will,意のままに
100,of one's own accord 〔free will〕,自発的に 自らの自由意思で
101,be bored with 〔of〕 ～,～に退屈している ～にうんざりしている
102,see (to it) that ...,...するよう取り計らう〔気をつける〕
103,to the fullest 〔full〕,十分に 思う存分
104,with all ～,～ばかりなので ～にもかかわらず
105,break out,（戦争・災害などが）突然起こる
106,be true of ～,～に当てはまる
107,be liable to do,...しやすい傾向にある ...する義務がある
108,be of interest,興味深い
109,remember to do,忘れずに...する ...することを覚えておく
110,not only A but (also) B,AだけでなくBも...
111,to tell (you) the truth,実を言うと
112,cannot (help) but do,...しないわけにはいかない どうしても...してしまう
113,no matter how (S) may ...,どんなに...であろうと
114,be absorbed in ～,～に没頭する ～に夢中になる
115,get tired from 〔with〕 ～,～で疲れている
116,put in ～,～（時間など）を費やす
117,be compelled to do,...せざるを得ない
118,go ahead,（許可などを表して）どうぞ 進んで行う
119,concentrate (A) on B,（Aを）Bに集中する
120,get on with ～,～を続ける ～をどんどん進める
121,limit A to B,AをBに制限する AをB内にとどめる
122,wake (～) up,～を起こす 目がさめる
