1,improve,を向上させる；よくなる,徐々に良くなっていくというイメージです。implove one'sEnglish「英語力を上げる」などでつかいます。
2,relate,を（...と）関連づける；（...に）関連する,relationship「関係」という単語が覚えやすいのでセットで覚えるといいです。
3,provide,を供給する（≒supply）,プロバイダーとはインターネットサービスを供給する会社です。
4,consider,を見なす；について考える,頭の中で何度も何度も考えるイメージです。繰り返す系なので～ingをとります。
5,include,を含む,中に(in)閉じる(clude)です。
6,concern,（受身形で）（...を）心配する；（...に）関係する；に関連する,関係、関心が本来の意味。関心が度を超すと心配になります。
7,involve,を関与させる；を伴う,中へ(in)回転する(volve)から。
8,produce,を生産する；を取り出す,日本語でプロデュースといえば、芸能関係なんですが、英語のプロデュースは農作物、工業製品、人材などなんでも使えます。
9,allow,を許す；を与える；（...を）考慮に入れる,美術館ではYou are not allowed to take picture here.という文が見かけられます。
10,require,を要求する；を必要とする,何度も(re)求める(quire)が本来の意味です。
11,appear,...のように見える；現れる→様子が現れる→～に見えるです。
12,tend,傾向がある；を世話する,本来は「伸びる」という意味。という意味。同じ現象が伸びて続く→～する傾向があるとなりました。
13,agree,意見が一致する；同意する,例文:I agree with you.
14,describe,について述べる,de(下に)scrib(書く)→書き留める→述べるになります。
15,add,を（...に）加える,facebookではadd meというメッセージが出てくることがあります。友達リストに加えてという意味です。
16,depend,頼る；...次第である,例文：It depends on the weather.
17,encourage,を励ます,人に勇気(courage)を込める(en)が語源です。
18,exist,存在する；生存する,ex(外に)sist=stand(立つ)が語源です。
19,reduce,を減らす；を（...に）変える,ゴミの３Rのひとつリデュースです。
20,adapt,適応する；を（...に）適合させる,電源アダプターは交流を直流電流に適応させるためのものです。adoptはopt(選択する)なので選んで採用するです。
21,compare,を比較する；を（...に）例える,一緒に(com)ペア(pare(pair))を作るので、人が二人集まると比較が起きます。
22,increase,増加する；を増やす,成長して伸びていく感じ。イメージはインクリ～スと伸ばしていく感じです。
23,suggest,を提案する；を暗示する,提案するの場合、that節の動詞は原型をとります。
24,cost,（費用）がかかる；を犠牲にさせる
25,share,を共有する；を分担する
26,wonder,かなと思う；（...に）驚嘆する
27,argue,と主張する（≒claim，maintain）；議論する
28,realize,に気づく；を実現する
29,control,を管理する；を制御する
30,affect,に影響を及ぼす（≒influence）；を感動させる
31,find,とわかる；を見つける
32,notice,に気づく
33,avoid,を避ける
34,force,に強いる；を強要する
35,offer,を提供する，申し出る
36,demand,を要求する
37,claim,と主張する；を自分のものだと主張する
38,deal,を処理する
39,store,を保存する；を蓄える
40,complete,を完成させる
41,value,価値；価格；評価；価値観
42,benefit,利益，恩恵；給付金
43,opportunity,機会（≒chance）
44,quality,質；特質
45,author,著者；張本人
46,technology,科学技術；応用技術
47,environment,環境（≒surroundings）
48,view,見解；眺め
49,situation,状況；（人の置かれた）立場
50,effect,影響，効果；結果
51,influence,影響（力）
52,term,（専門）用語；条件；間柄；学期
53,skill,技能；熟練
54,theory,理論，学説；原理；推測
55,issue,問題（点）；発行（物）；発表
56,subject,話題；学科；主題；被験者
57,article,記事；条項；品物
58,statement,主張；声明；明細書
59,experiment,実験
60,figure,数字；姿；人物；図（表）
61,evidence,証拠
62,industry,産業；勤勉（≒diligence）
63,economy,経済；節約
64,medicine,医薬（≒medication）；医学
65,matter,問題；事態；困難；物質
66,material,材料；資料；生地
67,species,（生物の）種；種類
68,practice,（社会の）慣習；実践；練習
69,focus,焦点；関心の的
70,memory,記憶（力）；（...の）思い出
71,right,権利；右；正しいこと
72,accord,一致；合意，協定
73,thought,考え；思考
74,interest,興味；利子；利害
75,account,説明；勘定；口座
76,cause,原因；理由；大義
77,sound,音；響き，印象
78,individual,個人
79,certain,確信して；確かな；ある；一定の
80,possible,可能な；可能性のある
81,likely,ありそうな
82,available,手に入る；利用できる；手が空いている
83,social,社会的な；社交の
84,public,公の；公開の
85,physical,身体の；物質的な；物理学の
86,scientific,科学的な；（自然）科学の
87,common,普通の；共通の；一般の
88,general,全般的な；一般的な
89,particular,特定の；特別の；（...について）やかましい
90,similar,似ている；同様の
91,various,さまざまな；いくつかの
92,native,出生地の；原産の；生得の
93,patient,忍耐強い；勤勉な
94,recent,最近の
95,even,...さえ；（比較級の前で）いっそう
96,yet,それでも；まだ；もう
97,rather,かなり；むしろ；それどころか
98,instead,その代わりに；そうではなくて
99,simultaneously,同時に；一斉に
100,each,それぞれ；どれもこれも
101,challenge,に異議を唱える；（人）に挑む
102,determine,を決定する；を正確に知る
103,manage,をどうにか成し遂げる；を管理する
104,maintain,を維持する；と主張する
105,refer,言及する；関連する；参照する
106,approach,に近づく；に取り組む
107,advance,進歩する；進む；を進める
108,express,を表現する
109,spread,を広める；広がる
110,occur,起こる；心に浮かぶ；現れる
111,observe,に気づく；を観察する；を遵守する
112,recognize,を識別できる；を認める
113,suppose,と思う；と仮定する
114,regard,を見なす；を見る；を評価する
115,treat,を扱う；を治療する
116,search,捜す；を捜索する；を詳しく調べる
117,prove,を証明する；わかる，判明する
118,establish,を設立する；を確立する
119,mention,に言及する；と言う
120,represent,を表す；を代表する
121,prefer,の方を好む
122,apply,申し込む；（...に）適用される；を（...に）適用［応用］する
123,seek,を追い求める；（助けなど）を要請する
124,publish,を出版する；を公表する
125,perform,を行う；を演じる，演奏する
126,gain,を獲得する；（を）増す
127,fit,（に）適合する；を（...に）はめ込む；を（...に）合わせる
128,contain,を含む；の収容能力がある；を抑える
129,supply,を供給する
130,prepare,を準備する；を調理する；（...のために）準備をする
131,bear,に耐える（≒stand，endure）；を負う；を産む；を運ぶ
132,prevent,を妨げる；を防ぐ
133,object,反対する
134,decline,衰退する；減少する；を断る
135,replace,に取って代わる；を取り替える
136,connect,をつなぐ；を（...と）関連づける
137,attend,に出席する；（の）世話をする；（...に）精を出す
138,survive,生き延びる；を切り抜けて（生き）残る；より長生きする
139,respect,を尊敬する；を尊重する
140,waste,を浪費する
141,advantage,利点；優勢；有利，得
142,resource,資源；資金；才覚
143,medium,（情報伝達の）媒体；手段
144,method,方法；体系；秩序
145,attitude,考え方；態度
146,structure,構造；体系；構造物
147,function,機能；関数
148,feature,特徴；顔つき；特集記事［番組］
149,aspect,（物事の）側面；観点；様相
150,content,内容；中身；コンテンツ
151,detail,詳細（な情報），細部
152,range,範囲；射程距離；並び
153,region,地域；領域；部位
154,trade,貿易；商売，取引
155,habit,習慣，癖
156,cell,細胞；小個室；電池
157,fuel,燃料；勢いを増加させるもの
158,bill,請求書；勘定書（≒check）；法案
159,charge,料金；世話；管理；告発
160,fine,罰金
161,temperature,温度；体温；熱
162,decade,10年間
163,emotion,感情，情動；感動
164,explanation,説明；解釈；理由
165,solution,解決（策）；溶液
166,degree,程度；度；学位；等級
167,access,接近，利用（の機会）
168,contrast,対照
169,status,地位；状態
170,surface,表面；外見
171,conflict,争い；論争；不一致
172,audience,聴衆；視聴者
173,clay,粘土
174,epoch,時代；画期的な出来事
175,profit,利益；収益（率）；得
176,income,収入
177,ancestor,先祖；先駆者；原型
178,crop,作物；収穫高
179,significant,重要な；意義深い
180,necessary,必要な
181,appropriate,適切な
182,correct,正しい；適切な
183,worth,の価値がある；（～する）に値する
184,positive,積極的な；肯定的な；明確な；確信して
185,plastic,柔軟な；プラスチックの，ビニールの
186,political,政治（上）の
187,official,公式の；公用の；役所の
188,private,私的な；民営の
189,ancient,古代の；昔からの
190,due,（支払）期日で；予定された；しかるべき
191,complex,複雑な；複合（体）の
192,mobile,可動［移動］式の；流動性のある
193,blank,空白の；無表情な；がらんとした
194,male,男性の；男らしい
195,therefore,それゆえに
196,thus,したがって；このように；次のように
197,eventually,結局（は）
198,otherwise,さもなければ；その他の点では；違った風に
199,despite,...にもかかわらず
200,both,両方とも；両方の
201,succeed,成功する；継承する
202,identify,を特定する；を（...と）同一視する
203,reflect,を反映する；（を）反射する；（を）熟考する
204,assume,を当然のことと思う；を手に入れる；を引き受ける
205,estimate,と推定する；を見積もる；を評価する
206,define,を定義する；を規定する
207,indicate,を指し示す；を述べる
208,reveal,を明らかにする；を見せる
209,attempt,を試みる，企てる
210,respond,反応する；答える
211,associate,を結び付けて考える；（...と）交際する
212,examine,を調べる；を診察する；を尋問する
213,address,（問題など）を扱う；に演説する；（手紙など）を（...あてに）出す
214,trust,を信頼する；を託する
215,doubt,を疑う；（...では）ないと思う
216,ignore,を無視する
217,refuse,を拒む；を断る
