1,おどろく,①気づく②目を覚ます,
2,ののしる,①大騒ぎする、大声で騒ぐ②評判になる、うわさになる,
3,ねんず,①祈る②がまんする,
4,おぼゆ,①思われる②似る③思い出される④思われる,
5,しのぶ,①がまんする、恋心を包み隠す②人目を避ける,
6,ながむ,もの思いに沈む、ぼんやり見る,
7,みゆ,①見える、思われる②姿を見せる、現れる③見られる、みせる、結婚する,
8,あふ,結婚する,
9,居る,①座る②～ている,
10,ありく,①歩き回る②～してまわる、～し続ける,
11,あく,①満足する②（飽かずの形で）満ち足りない、いやにならない,
12,うつくし,①かわいらしい②立派だ,
13,かなし,いとしい、かわいい,
14,いみじ,①とても、たいそう②とてもすばらしい、とてもうれしい③とても悲しい、ひどい、大変だ,やばいって訳せば何とかなります。
15,をかし,①趣がある、おもしろい②美しい、かわいい③滑稽だ,
16,よし,①よい、すぐれている②（よき人の形で）身分が高く教養がある,
17,あやし,①不思議だ、変だ②けしからん、よくない③身分が低い、卑しい④粗末だ,
18,おとなし,①大人らしい、大人びている②年配だ③思慮分別がある,
19,ゆかし,見たい、知りたい、聞きたい,
20,おぼつかなし,①ぼんやりしている、はっきりしない②気がかりだ、不安だ③待ち遠しい、もどかしい,
21,ありがたし,①めったにない②（めったにないほど）立派だ、優れている,
22,めでたし,①すばらしい、立派だ,
23,くちをし,残念だ、期待外れだ,
24,うし,つらい、いやだ,覚えかた：牛は「もー」って鳴きます。人はつらいとき、「もー」って言います。
25,わびし,①つらい、困ったこと②興ざめだ、ものたりない,
26,あはれなり,心底しみじみと感じられる,ああ～！って訳せば問題ないと思います。
27,おろかなり,①おろそかだ、いいかげんだ②（言うも、言えばに続けて）言葉では言い尽くせない,
28,ねんごろなり,①熱心だ、丁寧だ②親しい、親密だ,
29,つれづれなり,①退屈だ、所在ない、手持ちぶさただ②しんみりともの寂しい,
30,いたづらなり,①無駄だ、役に立たない②手持ち無沙汰で暇だ,
31,としごろ,長年、数年,
32,かたち,容貌、人の姿,
33,かげ,①光②姿、形,
34,ほい,①かねてからの願い、本来の目的、宿願,
35,ものがたり,①話、雑談、世間話②物語,
36,ふみ,①手紙②漢詩、漢籍、学問,
37,ほど,①時、時分、間②あたり、距離、長さ、広さ③身分、身のほど、年齢、間柄④様子、程度、ほど,
38,なさけ,①思いやり、人情②男女間の情愛、恋愛③情趣を解する心、風流心,
